Name,Longitude,Latitude,Altitude,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
ICIPE-Mbita,34.200,-0.417,1125,4.07,4.52,4.03,3.71,3.35,4.52,4.70,4.02,3.74,3.31,3.24,4.57,4.01
Nauru,166.900,-0.517,7,3.71,3.70,3.69,3.43,3.30,3.32,3.31,3.38,3.34,3.25,3.34,3.53,3.46
Nairobi,36.850,-1.333,1650,3.51,3.84,3.82,3.81,4.17,4.42,4.21,3.40,3.36,3.28,3.20,3.40,3.70
Balbina,-59.483,-1.917,80,3.70,3.91,3.83,3.13,3.28,3.05,3.11,3.73,4.24,4.71,4.35,4.81,3.88
Abracos_Hill,-62.350,-10.750,200,3.79,3.52,3.44,3.35,3.12,3.33,3.53,5.75,7.06,5.86,4.57,4.52,4.57
Jabiru,132.883,-12.650,30,4.49,3.96,3.58,3.22,3.11,2.99,2.99,3.17,3.77,4.40,4.56,4.42,3.77
Mongu,23.150,-15.250,1107,3.48,3.38,3.27,2.79,2.75,2.94,3.12,3.99,4.96,4.54,3.90,3.54,3.68
CUIABA-MIRANDA,-56.017,-15.717,210,3.59,3.40,3.29,3.30,3.39,3.65,3.37,4.25,6.67,6.22,3.91,3.50,4.23
Brasilia,-47.900,-15.917,1100,2.92,3.04,3.28,2.88,2.96,2.80,2.94,3.79,5.36,4.46,3.75,3.70,3.63
Lake_Argyle,128.733,-16.100,150,3.72,3.54,3.22,2.87,2.70,2.46,2.43,2.65,3.39,4.20,4.14,3.89,3.31
La_Paz,-68.050,-16.533,3439,3.52,3.03,2.73,2.74,2.69,2.72,3.11,3.32,3.11,3.28,3.29,3.39,3.10
Tahiti,-149.600,-17.567,98,3.45,3.30,3.34,3.21,3.02,3.00,3.03,2.97,3.08,3.20,3.28,3.32,3.16
SANTA_CRUZ,-63.167,-17.800,442,3.35,3.38,3.22,2.97,3.06,3.16,3.58,4.44,5.76,4.25,3.56,3.37,3.77
