Name,Period,Lon,Lat,Alt,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Balbina,1999-2001,-59.49,-1.92,80,10.0,3.6,4.5,3.2,3.2,2.9,3.0,3.3,3.6,4.5,4.1,4.4
Abracos Hill,1999-2000,-62.35,-10.75,200,3.3,3.6,3.5,3.2,3.2,3.2,3.2,4.2,5.8,5.9,4.0,3.9
Darwin,1999,130.87,-12.40,30,-,4.1,4.0,3.5,3.0,3.1,3.3,3.6,4.4,4.5,4.3,4.0
Los Fierros,1998-99,-60.92,-14.55,170,-,-,-,-,3.1,3.3,3.4,7.2,7.7,7.5,4.5,-
Mongu,1995-98,23.15,-15.25,1107,-,-,-,-,-,2.9,3.2,4.1,4.9,4.5,4.1,3.4
Lusaka,1995-99,28.32,-15.42,1280,6.3,-,6.3,5.0,2.5,3.1,2.7,3.6,4.9,7.0,5.8,4.4
Cuiaba,1995-97,-56.00,-15.50,250,4.3,-,-,-,-,3.8,3.8,6.4,8.2,5.7,5.5,-
Brasilia,1993-95,-47.90,-15.92,1100,-,3.2,-,3.1,3.1,2.9,2.9,3.8,5.6,4.6,3.8,3.9
Tete,1995-99,33.58,-16.18,123,3.8,3.3,2.9,2.8,2.8,3.0,3.3,3.7,5.3,4.1,4.3,3.0
Cairns,1998,145.75,-16.88,7,4.0,4.3,3.2,3.8,3.0,3.1,3.2,3.3,3.6,4.1,3.8,3.7
Tahiti,1999-2001,-149.61,-17.58,98,3.6,3.3,3.6,3.3,3.1,3.2,3.2,3.1,3.2,3.3,3.4,3.4
Harare,1995-99,31.02,-17.83,1471,6.3,5.7,-,-,-,-,4.4,3.9,-,4.5,6.1,6.6
Broome,1997,122.23,-17.95,9,4.4,4.3,3.9,3.2,2.9,2.7,2.7,3.3,3.9,4.4,4.1,4.1
Arica,1998-99,-70.25,-18.47,25,4.1,5.6,5.5,4.3,4.1,3.9,4.0,4.6,4.4,3.9,4.2,4.6
Tennant Creek,1998,134.18,-19.63,377,3.6,3.3,3.5,3.2,2.8,2.8,3.0,2.7,3.2,3.4,3.0,3.6
Belterra,1999-2001,-54.95,-2.63,70,3.5,4.2,4.4,-,3.5,3.2,3.4,3.8,4.2,5.0,5.0,5.1
